iter	RMSE
0	0.2823824348
1	0.2601337584
2	0.2402502151
3	0.2226747531
4	0.2071710496
5	0.1935148753
6	0.1813147685
7	0.1708394005
8	0.1613090793
9	0.1530461746
10	0.1457856859
11	0.1395476945
12	0.134130021
13	0.1293349828
14	0.1250724915
15	0.1215223843
16	0.1183858709
17	0.1155256264
18	0.1130089913
19	0.1107042406
20	0.1087542123
21	0.1071451125
22	0.1057509215
23	0.1044500602
24	0.1034153047
25	0.1021308556
26	0.1011566037
27	0.100204959
28	0.09916950147
29	0.09854424472
30	0.09781729885
31	0.09720480529
32	0.09661934511
33	0.09608936412
34	0.09563366794
35	0.0951696731
36	0.09485619185
37	0.09443532426
38	0.09396459065
39	0.09364885164
40	0.09337767622
41	0.09309426341
42	0.09282708011
43	0.09239714362
44	0.09194045666
45	0.09166147123
46	0.09144597003
47	0.09119542251
48	0.09095782133
49	0.09072129293
50	0.09050423618
51	0.09034198113
52	0.09007257082
53	0.08993221532
54	0.08962088551
55	0.08944067867
56	0.08926058618
57	0.08915757421
58	0.08901278274
59	0.08889629894
60	0.08865644409
61	0.08834742113
62	0.08824995432
63	0.08813417152
64	0.08793864645
65	0.08778952465
66	0.08768479523
67	0.08754859124
68	0.08744731287
69	0.08724657607
70	0.08712658557
71	0.08705689115
72	0.08687831967
73	0.08673953235
74	0.08660727367
75	0.08652823562
76	0.08645659239
77	0.08636161762
78	0.08621348468
79	0.08614582026
80	0.08603911562
81	0.08589929757
82	0.08581911381
83	0.08575210072
84	0.08569667055
85	0.08563468147
86	0.08555634789
87	0.08545443077
88	0.08536637033
89	0.08526095761
90	0.08520868852
91	0.0851715291
92	0.08512898972
93	0.0850548064
94	0.08497075291
95	0.08488775117
96	0.0848163392
97	0.08475349518
98	0.08469481771
99	0.08464632191
100	0.08460256513
101	0.08451822525
102	0.08446931599
103	0.08441610689
104	0.08438319538
105	0.08434990642
106	0.08430605907
107	0.08423067781
108	0.08418742445
109	0.08413770744
110	0.08410663851
111	0.08406120828
112	0.08402670491
113	0.08398214323
114	0.08394721857
115	0.08391944488
116	0.08385059921
117	0.08380330007
118	0.08377520521
119	0.0837376158
120	0.08370830669
121	0.08366539094
122	0.08362603716
123	0.08358533948
124	0.08356106234
125	0.08353460293
126	0.08348898171
127	0.08346038997
128	0.08343486532
129	0.08339962869
130	0.08333966286
131	0.08329731447
132	0.08328171891
133	0.08326093786
134	0.08324155036
135	0.08321867386
136	0.08319133222
137	0.08315769068
138	0.08313031765
139	0.08309526157
140	0.08306322844
141	0.08301965413
142	0.08300013087
143	0.08296225459
144	0.08294214647
145	0.08291805571
146	0.08289416618
147	0.08285965028
148	0.08282541934
149	0.0827802527
