iter	Passed	Remaining
0	35	5306
1	64	4765
2	92	4540
3	121	4452
4	151	4384
5	180	4338
6	208	4267
7	240	4262
8	269	4219
9	297	4164
10	328	4155
11	360	4148
12	391	4124
13	422	4101
14	451	4067
15	481	4032
16	510	3997
17	542	3980
18	572	3945
19	603	3923
20	632	3887
21	665	3869
22	698	3858
23	729	3830
24	762	3811
25	790	3771
26	822	3749
27	853	3718
28	882	3682
29	909	3639
30	938	3604
31	969	3575
32	997	3537
33	1027	3504
34	1059	3481
35	1087	3443
36	1118	3415
37	1146	3377
38	1174	3341
39	1202	3306
40	1230	3270
41	1259	3239
42	1287	3202
43	1317	3174
44	1345	3139
45	1375	3110
46	1401	3070
47	1429	3038
48	1461	3011
49	1489	2978
50	1518	2947
51	1546	2914
52	1577	2886
53	1606	2855
54	1633	2821
55	1660	2787
56	1685	2750
57	1714	2718
58	1746	2693
59	1775	2662
60	1802	2629
61	1829	2597
62	1858	2566
63	1888	2537
64	1917	2507
65	1949	2480
66	1976	2448
67	2001	2413
68	2026	2378
69	2055	2349
70	2085	2320
71	2113	2289
72	2142	2260
73	2171	2230
74	2202	2202
75	2229	2170
76	2255	2138
77	2284	2108
78	2311	2077
79	2340	2048
80	2366	2016
81	2398	1988
82	2427	1959
83	2455	1929
84	2483	1898
85	2512	1870
86	2541	1840
87	2570	1810
88	2601	1783
89	2630	1753
90	2656	1722
91	2685	1693
92	2713	1662
93	2741	1633
94	2770	1603
95	2802	1576
96	2828	1545
97	2858	1516
98	2887	1487
99	2915	1457
100	2941	1426
101	2971	1398
102	3001	1369
103	3030	1340
104	3056	1309
105	3081	1279
106	3109	1249
107	3140	1221
108	3166	1191
109	3194	1161
110	3221	1132
111	3253	1103
112	3284	1075
113	3310	1045
114	3340	1016
115	3367	987
116	3396	957
117	3424	928
118	3447	898
119	3478	869
120	3506	840
121	3535	811
122	3567	783
123	3594	753
124	3621	724
125	3649	695
126	3678	666
127	3707	637
128	3738	608
129	3768	579
130	3793	550
131	3820	520
132	3845	491
133	3871	462
134	3894	432
135	3922	403
136	3950	374
137	3979	346
138	4007	317
139	4036	288
140	4066	259
141	4093	230
142	4118	201
143	4146	172
144	4176	144
145	4203	115
146	4232	86
147	4262	57
148	4291	28
149	4321	0
